Year,bResult,gamelength,game_id,total_kills_b_team,total_kills_r_team,total_monsters_b,total_monsters_a,total_towers_b_team,total_towers_r_team,blue_gold,red_gold,Season_Encode
2016,1,50,b96f782c-da04-4641-9306-68968036bfd9,2.0,2.0,0.0,0.0,0.0,0.0,13015,12153,1
2016,0,31,2a7e2cb1-5ac2-4ea2-bd18-0b261e43345a,6.0,6.0,1.0,0.0,0.0,0.0,13341,12773,1
2016,1,50,e04ed84d-929b-4f0e-a769-e7bffc2b5162,2.0,2.0,1.0,0.0,1.0,0.0,12618,12674,1
2016,1,40,8829614a-313e-413c-9520-d95d7b95af31,0.0,0.0,0.0,0.0,0.0,0.0,12968,13264,2
2016,0,36,db2cf98d-a55e-4e28-9702-d7363fad2ebb,0.0,0.0,0.0,0.0,1.0,1.0,12418,13436,2
2016,0,42,3d7003be-4b9e-4a78-9b74-ef11e8648163,0.0,0.0,0.0,0.0,0.0,0.0,13458,14313,1
2016,0,40,22758935-9da6-4ca3-a6ee-1dc586cc638b,4.0,4.0,0.0,1.0,1.0,0.0,13848,14429,1
2016,0,32,d9ea0823-8a06-4b5c-b1ba-1ade8ec68969,2.0,2.0,0.0,0.0,0.0,0.0,12271,14332,2
2016,1,35,a1008397-ede5-4655-b6fe-46c16f2fff92,4.0,4.0,0.0,0.0,0.0,0.0,13685,12946,2
2015,1,37,8c5de84b-e678-4625-9911-ff3d276c4a0c,4.0,4.0,0.0,0.0,1.0,0.0,11550,13009,2
2016,1,30,e6728b90-0534-41fe-94b7-0106437c1f42,4.0,4.0,0.0,0.0,0.0,0.0,13391,12424,2
2015,0,33,f9ea241c-141b-4fee-a0d7-b2c37a5e3252,0.0,0.0,0.0,1.0,0.0,0.0,12736,11716,1
2016,1,19,d7aeea0e-6206-418a-ad84-743a6fe94db1,12.0,12.0,0.0,0.0,1.0,0.0,14746,11987,2
2015,1,42,96ae285e-f460-4513-bd85-1714842aee29,4.0,4.0,0.0,0.0,0.0,0.0,11773,13189,2
2016,0,30,0bd9a31b-23e4-494a-ac67-570efaccaee1,0.0,0.0,0.0,0.0,0.0,0.0,12720,13162,2
2015,0,40,76153505-abc9-4340-8c3d-b6d65b856456,4.0,4.0,0.0,1.0,0.0,0.0,12290,12523,2
2015,1,33,c2802a95-a3a4-405e-8a08-ef264c8da885,4.0,4.0,0.0,1.0,1.0,1.0,12342,11614,1
2016,1,32,4bde8865-c00e-48e9-8907-3f090355553a,2.0,2.0,0.0,0.0,0.0,0.0,13261,12813,1
2016,1,38,e6c7c1ee-3213-4ba3-ad1f-6f21cbb64184,4.0,4.0,0.0,0.0,0.0,0.0,12807,13081,2
2016,1,36,e768a289-0876-4527-8afc-8b87393e7163,2.0,2.0,0.0,0.0,0.0,0.0,13267,12177,1
2015,1,30,54fbed5e-33f8-4f16-92d7-7f00e8dda7ba,0.0,0.0,1.0,0.0,0.0,0.0,12115,12577,2
2015,0,33,176e6ac0-9632-42de-8891-2269b7831698,2.0,2.0,0.0,0.0,0.0,0.0,11396,12131,2
2016,0,35,02093aa4-f749-414c-9cc6-04b81ceea512,0.0,0.0,1.0,1.0,2.0,2.0,13242,13694,1
2016,0,37,035369f4-4c29-452d-9fa8-88f5e7947a7a,2.0,2.0,1.0,1.0,2.0,2.0,13878,14241,1
2016,1,51,63ef9adf-e023-4599-a2fd-eb85a036ec7f,8.0,8.0,0.0,0.0,0.0,0.0,13529,13323,1
2016,1,37,ce6c7737-81ac-40fb-bf04-89a16ab75391,0.0,0.0,0.0,0.0,1.0,1.0,12722,13102,1
2014,0,28,ada5b8be-0e13-4bfb-956a-5ca6bef7961c,2.0,2.0,1.0,0.0,1.0,2.0,12441,14534,1
2015,0,27,046084d2-1959-4459-8b47-61a87324a4a5,8.0,8.0,0.0,1.0,0.0,1.0,13549,14389,1
2016,0,42,eb9da2fd-10b6-4980-a9c1-03480392147b,2.0,2.0,0.0,0.0,0.0,0.0,12378,14079,2
2016,1,36,f5f4a4ed-54bb-430b-91c0-4e2cba34c61a,6.0,6.0,0.0,0.0,1.0,0.0,14076,12331,1
2016,0,29,603b16f3-de5c-4a01-9014-da74fda19426,4.0,4.0,0.0,0.0,0.0,0.0,13283,14405,1
2016,1,25,0b45e19b-50a2-41ab-95f3-6e73d031ba4c,2.0,2.0,1.0,0.0,2.0,1.0,14350,13414,1
2015,1,38,616b0c14-e051-4d10-8fd0-30420199a4bc,2.0,2.0,0.0,0.0,0.0,0.0,12155,12364,1
2016,1,43,d792cdb7-79c0-45d2-b2f1-601246b03a9e,2.0,2.0,1.0,1.0,1.0,1.0,13731,13064,2
2016,0,52,1b88dcdb-4123-448e-a558-81f214f1792b,2.0,2.0,1.0,0.0,0.0,0.0,12395,13512,2
2015,0,32,f643f098-0eb6-469d-beb4-992785a4efbc,12.0,12.0,0.0,1.0,0.0,1.0,12236,13721,2
2015,1,37,1fcd7bf3-e853-4fad-95d6-3fdd1935fdbb,6.0,6.0,0.0,0.0,0.0,0.0,13666,12071,1
2016,0,33,9b178d7f-03ca-485e-8edd-a62c6d5e8d6d,0.0,0.0,0.0,0.0,0.0,0.0,11749,13823,2
2015,1,30,d004378e-74ee-416e-9bac-3dab724d2b0e,6.0,6.0,0.0,1.0,0.0,0.0,13783,12049,1
2016,0,34,9cd08aa5-880e-4a31-b338-7e0b981ee6fb,8.0,8.0,1.0,0.0,2.0,0.0,14667,12465,2
2016,0,54,e038da89-6c77-4502-bc79-6276d02d0b8a,0.0,0.0,0.0,0.0,0.0,0.0,12690,12846,1
2015,1,22,5e7e9657-007f-49e3-adbc-c90fa52cb5eb,12.0,12.0,1.0,0.0,2.0,0.0,14149,11035,2
2015,0,42,53bc3e40-3fe0-4151-93ff-a18005fb5682,12.0,12.0,0.0,0.0,1.0,0.0,13658,11293,1
2016,1,37,fcc7cb6d-3317-47e8-a637-23e23f8e40df,4.0,4.0,1.0,0.0,2.0,2.0,14300,14203,1
2015,1,40,e4110e70-70af-43e7-9f00-406b2d2f4245,8.0,8.0,1.0,0.0,0.0,0.0,12742,12438,2
2016,1,30,d74665f5-1238-4fd0-b411-501c79931a4b,6.0,6.0,1.0,0.0,2.0,2.0,15228,14504,1
2016,0,42,077a83ca-69ec-44da-9f2c-7fd3cb6df7ed,2.0,2.0,1.0,0.0,0.0,0.0,13154,13524,1
2016,1,39,afb85ed6-746c-4b56-843c-0287375f4b18,2.0,2.0,0.0,0.0,0.0,0.0,13088,12874,1
2016,0,34,53aee1a1-97cf-41a8-88d2-479f18bc1375,4.0,4.0,0.0,0.0,0.0,0.0,13223,12427,1
2016,0,28,bc9de32f-849a-444b-8d96-41d63d34e99d,0.0,0.0,0.0,0.0,0.0,0.0,12220,12751,2
2015,0,33,12f7dd6a-65d6-4446-9b7a-5b22b6295a54,0.0,0.0,0.0,1.0,1.0,2.0,11582,13017,1
2015,1,40,3d8c3bfb-5f3f-4735-954c-aa3bb8ddc22e,8.0,8.0,0.0,0.0,0.0,0.0,12639,12386,1
2016,1,33,f5a90acf-574d-4cfd-ab83-74f0752f6d1d,10.0,10.0,0.0,0.0,0.0,0.0,14226,13281,2
2015,1,29,9a0fe477-3783-41c7-a9fe-7092da786f98,8.0,8.0,0.0,1.0,1.0,0.0,13225,10738,2
2016,1,30,e421f3fe-0614-4c70-8e14-915efd04bd9d,2.0,2.0,0.0,0.0,0.0,0.0,13805,12798,1
2015,1,54,c3babf07-5479-406a-83f7-67bdee6b1261,0.0,0.0,0.0,1.0,1.0,1.0,11912,13189,1
2015,1,27,e49fcd0a-ac3e-444c-815e-5fe1c6f50a7d,6.0,6.0,1.0,0.0,1.0,2.0,12507,11403,1
2015,0,57,5b8d7ed8-c1eb-4a2b-9330-269458b70f6b,2.0,2.0,0.0,0.0,0.0,0.0,11713,13112,2
2014,1,39,97b066d3-1248-4d43-b245-a5a8b7100029,10.0,10.0,0.0,0.0,0.0,0.0,12898,11331,1
2016,0,48,d1264446-5de8-4fd5-a2af-d726c6a79731,2.0,2.0,1.0,0.0,2.0,2.0,13641,13714,2
2016,1,37,8808cafd-3089-4b2b-9237-89d376e730b4,6.0,6.0,1.0,0.0,3.0,3.0,14561,14449,1
2015,1,41,1edcba57-5186-4d8f-9062-3707d414fba9,2.0,2.0,0.0,1.0,0.0,0.0,11743,11831,2
2016,1,68,c6496a21-1c92-444d-bbe1-9df61b324b0f,0.0,0.0,0.0,0.0,0.0,0.0,12864,13814,2
2016,0,34,00afe259-b6ea-4d83-9265-2f0452903a42,4.0,4.0,1.0,1.0,2.0,2.0,14142,14691,1
2015,0,41,182fef33-6418-4782-b2ef-4607832b16ab,8.0,8.0,1.0,0.0,0.0,1.0,12461,13090,1
2016,1,27,076cdf53-22c3-4f22-b07d-d8b72aef5029,0.0,0.0,0.0,1.0,2.0,2.0,14055,13520,1
2015,0,40,6c8c20cc-7e14-4923-b469-22e1ff02dfb5,6.0,6.0,0.0,0.0,0.0,0.0,12469,12796,2
2015,1,34,7b7b5174-8645-4d2e-9fa9-c96a75927916,8.0,8.0,0.0,1.0,2.0,0.0,12136,12211,2
2015,0,34,0a8762e8-7bd3-42e1-8b45-9bcb1bc7d4c2,0.0,0.0,1.0,0.0,0.0,0.0,11318,11945,1
2015,1,41,5802d014-a7ea-40ab-9d30-8e7b6c01912e,2.0,2.0,0.0,1.0,0.0,0.0,11666,12829,1
2016,1,35,267bca03-d07e-4367-8360-92eb80c69e84,4.0,4.0,2.0,0.0,2.0,2.0,13704,14963,1
2016,0,35,76a41b81-d49c-4898-9be8-e72b9322e4d7,6.0,6.0,1.0,0.0,0.0,0.0,13011,12503,1
2016,0,35,1e720d01-ba29-4475-bf15-aaa87c2b532b,4.0,4.0,0.0,0.0,0.0,0.0,13789,14247,2
2016,1,30,1902b208-fc76-44e8-91ee-9a30f2e21b22,2.0,2.0,1.0,0.0,2.0,2.0,14084,13682,2
2016,0,28,4066d8e1-8aee-4072-abb4-81cfba15cd56,2.0,2.0,0.0,0.0,2.0,2.0,12952,14960,1
2016,1,29,caa51d8d-3b39-434e-821a-e2c9769051de,8.0,8.0,0.0,0.0,1.0,0.0,13651,13049,2
2016,0,55,39e2da61-4ac9-4621-99a5-70013eb07ea1,0.0,0.0,0.0,0.0,0.0,0.0,13094,13417,1
2015,0,42,0d817656-3d04-4306-8a05-63b0f1b8dda5,4.0,4.0,0.0,0.0,0.0,0.0,13002,12591,1
2015,0,44,40114982-61bc-4301-bbe0-0583288d18e6,6.0,6.0,0.0,0.0,0.0,0.0,12841,12358,1
2015,1,43,29fb295a-7ffa-4a21-8a87-02990e590c2a,2.0,2.0,1.0,0.0,1.0,2.0,11644,12977,1
2016,1,30,e6e0d876-5f0f-428f-b4bc-e9b7034ac5bb,2.0,2.0,0.0,0.0,1.0,1.0,13608,12017,2
2016,0,55,b3809d5c-8725-4874-9d7d-fede501bf879,2.0,2.0,0.0,0.0,0.0,0.0,12379,12464,2
2016,0,31,c3c24831-89d1-49e8-b28a-18a32293878b,2.0,2.0,0.0,1.0,1.0,1.0,13483,13358,1
2016,1,25,79fe16a9-467d-4308-9f12-1fc527c42fb7,4.0,4.0,0.0,0.0,0.0,0.0,13548,13192,2
2015,0,36,6600be45-8d56-4e05-b882-64f10b8b3124,0.0,0.0,0.0,1.0,0.0,0.0,11893,12480,1
2016,0,27,4ef71ff7-7d16-4d06-a3a8-334f191d83ae,0.0,0.0,0.0,0.0,0.0,0.0,12913,13149,1
2015,1,28,9514a262-1203-4147-90d3-571efe8b5d12,6.0,6.0,1.0,0.0,0.0,1.0,12461,12137,1
2016,0,44,e5684558-3f3c-428b-b34f-65da00b3c2bb,2.0,2.0,0.0,0.0,1.0,1.0,12492,14362,1
2016,1,33,55e05cc7-6e39-4d5a-977d-34d763d1a098,6.0,6.0,0.0,1.0,0.0,0.0,14020,12876,2
2015,1,42,d5b0c1f1-cbca-4b79-a692-088785f75120,4.0,4.0,0.0,0.0,0.0,0.0,12813,12001,2
2015,0,38,f16f3cd2-19c4-4195-8b76-78a4ebb44d31,0.0,0.0,0.0,1.0,0.0,0.0,11530,11708,1
2015,0,31,db91e8cf-5efc-44f8-a445-984ce6e12310,2.0,2.0,0.0,1.0,0.0,0.0,12220,12936,2
2016,0,30,498ae058-da43-4aac-988a-40a88796fdf7,2.0,2.0,1.0,0.0,0.0,0.0,13604,12638,1
2015,0,43,5dfb669c-b08a-40e1-b033-c5e70e5836db,2.0,2.0,0.0,0.0,0.0,0.0,11501,13461,1
2016,1,44,a37bd12b-9bc9-4a67-b5e1-414e7b438afd,0.0,0.0,1.0,1.0,2.0,3.0,13575,13134,1
2015,1,29,c3fa519f-b1a8-4669-b18c-2fc47debb53f,0.0,0.0,0.0,0.0,1.0,0.0,11606,12265,1
2016,0,43,a03d085b-bfd6-4ab2-9ee9-0e6f43e383ea,0.0,0.0,0.0,2.0,2.0,3.0,13423,15076,1
2015,0,42,e810cd12-da89-41b1-b271-f8c2827ec034,10.0,10.0,0.0,1.0,0.0,1.0,13162,12843,2
2016,1,31,340def5d-724f-471b-9b43-3eacf65185f3,0.0,0.0,0.0,1.0,0.0,1.0,12351,13243,1
2015,0,40,681c8105-9249-4d80-a7e3-a58b53b8c042,4.0,4.0,0.0,0.0,1.0,1.0,12801,12303,1
2015,1,25,e81a22ef-f5dd-4f6d-8ad2-555f3e4fd54c,8.0,8.0,1.0,0.0,0.0,0.0,12697,11783,2
2015,1,38,de459552-480c-4b34-8b24-54146d86cd86,4.0,4.0,0.0,0.0,0.0,0.0,12782,12702,1
2015,1,44,6be69058-49d8-494e-9065-39b5cda95420,4.0,4.0,1.0,0.0,0.0,1.0,12311,13192,1
2015,0,42,be786580-eca1-4d5f-8054-18020db67479,2.0,2.0,0.0,1.0,0.0,0.0,11723,11682,2
2015,1,40,a5733590-d25f-4dca-91ac-2f1bf4dec372,2.0,2.0,0.0,0.0,0.0,0.0,12728,11777,2
2015,1,32,9d10d929-a56b-48e6-a289-da5d6b76cadb,4.0,4.0,0.0,0.0,0.0,0.0,11816,11335,2
2016,1,32,1191c84c-fe3b-4a54-b762-3ad555a8f4be,2.0,2.0,2.0,0.0,2.0,3.0,14437,14815,2
2016,1,45,8b6d9f43-ccef-4f65-838f-6b50c2b207db,0.0,0.0,1.0,1.0,2.0,2.0,13761,13788,1
2016,0,36,1b8ce5d6-5095-4f28-a086-ce239e7ce61d,0.0,0.0,0.0,0.0,0.0,0.0,11650,12843,2
2016,1,39,76810d2f-7478-40b8-b513-17e16ad2a1f7,0.0,0.0,0.0,0.0,2.0,2.0,13354,14413,1
2015,1,28,cb5dd8de-d447-4b73-821b-28e7ac9746cb,14.0,14.0,1.0,0.0,1.0,0.0,14450,11695,2
2015,0,41,cb6033d3-4cab-4d10-b159-f5f43f1868d3,2.0,2.0,0.0,1.0,0.0,0.0,11500,12790,2
2016,0,23,07798e5b-ff73-459f-bf5b-b76b8e0253d4,0.0,0.0,1.0,1.0,0.0,0.0,12697,13531,2
2016,1,27,907ae11d-754f-4b6d-af40-4ae9ffb95b59,8.0,8.0,1.0,0.0,0.0,0.0,13418,12317,2
2016,1,52,5faad801-6015-4c4d-a7cb-29b21ea819c7,4.0,4.0,0.0,0.0,0.0,0.0,13616,15012,1
2016,0,37,2150f587-4cd2-4e5e-8153-79489536e768,0.0,0.0,0.0,1.0,0.0,0.0,12542,12700,2
2016,1,46,8f52a9bc-506e-46a5-8941-e30dd3d5b26b,4.0,4.0,1.0,1.0,2.0,2.0,14976,14758,2
2016,1,36,1a1d444e-a4f8-4d4b-8e2a-5c07a0868aa0,0.0,0.0,0.0,0.0,0.0,0.0,13321,12804,1
2016,1,30,77077365-bf34-4633-a4a9-5390255a7d64,0.0,0.0,0.0,0.0,0.0,0.0,12703,13019,1
2016,0,52,e62585bb-fd42-4394-9cd3-7e6db04d1752,2.0,2.0,0.0,0.0,2.0,2.0,13708,13301,2
2015,1,34,f5729546-ef8b-4f4a-bf0b-d4e2306a8e83,4.0,4.0,0.0,0.0,0.0,0.0,13068,12234,1
2015,0,39,da866667-3163-4cee-99b8-9aa2e75cab25,0.0,0.0,0.0,1.0,0.0,0.0,11272,11328,2
2016,1,37,bef6a53d-5ff9-4f05-b933-7e0cfd9d93ed,0.0,0.0,0.0,1.0,0.0,0.0,12723,12868,1
2015,1,49,cbe91da5-9e24-443a-85bf-a0d88554d419,0.0,0.0,0.0,1.0,1.0,0.0,11574,11836,2
2015,1,24,bdacb969-f199-44eb-8f76-e92e16a80e22,4.0,4.0,1.0,0.0,2.0,0.0,13057,11930,2
2016,0,39,80de2f68-dc30-49dd-8ed6-e77b04543dfd,4.0,4.0,0.0,0.0,1.0,1.0,13727,12431,1
2016,1,35,466128d8-226e-4f48-96b7-7115e7b26cc0,0.0,0.0,0.0,0.0,0.0,0.0,12794,13353,2
2016,0,38,a0e56239-2568-4376-8dc7-a94fe5362604,0.0,0.0,1.0,0.0,0.0,0.0,12938,14353,1
2016,1,27,ef50f127-3c14-43d7-a036-66b4c696dd41,6.0,6.0,0.0,0.0,1.0,0.0,13904,13183,2
2016,1,37,7cc89f7f-657e-4a7c-9aa4-ea0b1e744f3f,8.0,8.0,0.0,0.0,1.0,0.0,14004,11481,1
2016,0,32,f9db2b63-dad7-429a-9ebc-81a7797d3aa8,0.0,0.0,0.0,0.0,1.0,1.0,12996,12739,2
2016,1,39,7d2ef6dc-03ab-4a80-b7d9-6e93dd7696fe,2.0,2.0,0.0,1.0,0.0,0.0,12555,12449,2
2016,1,32,9424752e-d46b-4073-9a29-e3e658962b97,8.0,8.0,0.0,0.0,0.0,0.0,13430,12048,1
2016,1,47,3e2c5fc7-7050-4d0b-9669-5530ae1f483f,8.0,8.0,0.0,0.0,1.0,0.0,14883,12805,2
2015,1,41,b2340ee0-5ef3-4c23-93d4-f3b082af29e2,0.0,0.0,0.0,0.0,0.0,0.0,12156,12620,1
2016,1,29,b829df5b-8a7c-41ba-8f2d-7e7e33450a1f,8.0,8.0,0.0,0.0,0.0,0.0,14277,12361,2
2015,1,48,02d00ff5-32a4-4591-9877-a3df98e489af,6.0,6.0,0.0,0.0,0.0,0.0,12448,12421,2
