date,wp,ws,df_logg_wp,df_logg_ws
2009-07-01 01:00:00,0.085,2.47,-2.4651040224918206,0.9042181506398859
2009-07-01 02:00:00,0.02,2.4,-3.912023005428146,0.8754687373538999
2009-07-01 03:00:00,0.06,2.51,-2.8134107167600364,0.9202827531436925
2009-07-01 04:00:00,0.045,2.73,-3.101092789211817,1.0043016091968684
2009-07-01 05:00:00,0.035,2.93,-3.3524072174927233,1.075002423028976
2009-07-01 06:00:00,0.005,2.96,-5.298317366548036,1.085189268335969
2009-07-01 07:00:00,0.0,2.81,-inf,1.0331844833456545
2009-07-01 08:00:00,0.0,2.73,-inf,1.0043016091968684
2009-07-01 09:00:00,0.01,2.87,-4.605170185988091,1.0543120297715298
2009-07-01 10:00:00,0.025,3.23,-3.6888794541139363,1.172482137234565
2009-07-01 11:00:00,0.03,3.66,-3.506557897319982,1.297463147413275
2009-07-01 12:00:00,0.01,3.94,-4.605170185988091,1.3711807233098425
2009-07-01 13:00:00,0.0,3.86,-inf,1.3506671834767394
2009-07-01 14:00:00,0.01,3.56,-4.605170185988091,1.269760544863939
2009-07-01 15:00:00,0.0,3.26,-inf,1.1817271953786161
2009-07-01 16:00:00,0.0,3.15,-inf,1.1474024528375417
2009-07-01 17:00:00,0.0,3.21,-inf,1.1662709371419244
2009-07-01 18:00:00,0.005,3.28,-5.298317366548036,1.1878434223960523
2009-07-01 19:00:00,0.0,3.27,-inf,1.184789984909162
2009-07-01 20:00:00,0.0,3.18,-inf,1.1568811967920856
2009-07-01 21:00:00,0.0,2.98,-inf,1.091923300517313
2009-07-01 22:00:00,0.005,2.66,-5.298317366548036,0.9783261227936078
2009-07-01 23:00:00,0.015,2.32,-4.199705077879927,0.8415671856782185
2009-07-02 00:00:00,0.0,2.04,-inf,0.712949807856125
2009-07-02 01:00:00,0.0,1.76,-inf,0.5653138090500605
2009-07-02 02:00:00,0.01,1.5,-4.605170185988091,0.4054651081081644
2009-07-02 03:00:00,0.01,1.33,-4.605170185988091,0.28517894223366247
2009-07-02 04:00:00,0.0,1.3,-inf,0.26236426446749106
2009-07-02 05:00:00,0.0,1.32,-inf,0.27763173659827955
2009-07-02 06:00:00,0.0,1.28,-inf,0.2468600779315258
2009-07-02 07:00:00,0.0,1.19,-inf,0.17395330712343798
2009-07-02 08:00:00,0.0,1.18,-inf,0.16551443847757333
2009-07-02 09:00:00,0.015,1.21,-4.199705077879927,0.1906203596086497
2009-07-02 10:00:00,0.03,1.24,-3.506557897319982,0.2151113796169455
2009-07-02 11:00:00,0.01,1.47,-4.605170185988091,0.3852624007906449
2009-07-02 12:00:00,0.0,1.75,-inf,0.5596157879354227
2009-07-02 13:00:00,0.0,1.76,-inf,0.5653138090500605
2009-07-02 14:00:00,0.0,1.52,-inf,0.41871033485818504
