,Unnamed: 0,target,text,length,words,hasTitle,hasContent,hasLang,hasCountry1,hasCountry2,hasCountry3,hasCountry4,num_countries
2871,2871,0.0,african union au valid covidorgan malagasi remedi 2019ncov new coronavirus,108,14,0,0,0,1,1,1,1,4
242,242,0.0,video muslim fruitvendor spit fruit spread coronavirus,75,12,0,0,0,1,1,1,1,4
4218,4218,0.0,video show alleg hotel owner new york jump window fire employe hotel went bankrupt lockdown polici,164,29,0,0,0,1,1,1,1,4
1602,1602,0.0,post claim presid donald trump announc roch diagnost launch vaccin covid19,110,16,0,0,0,1,1,1,1,4
3711,3711,0.0,imag medic facil share claim indian armi set 1000bed hospit rajasthan coronavirus pandem,148,24,0,0,0,1,1,1,1,4
3903,3903,0.0,spread new coronavirus plan rockefel year ago,77,13,0,1,1,0,0,0,0,0
470,470,0.0,imag claim chroma screen panel coronavirus death,88,15,0,0,0,1,1,1,1,4
2775,2775,0.0,claim footbal star cristiano ronaldo convert hotel chain coronavirus hospit,101,14,0,0,0,1,1,1,1,4
2803,2803,0.0,video muslim violat lockdown condit old citi hyderabad,72,10,0,0,0,1,1,1,1,4
648,648,0.0,princ charl infect coronavirus meet indian singer kanika kapoor,87,12,0,0,0,1,1,1,1,4
2734,2734,0.0,social media user share photo claim center global human popul reduct affili bill melinda gate foundat,161,26,0,0,0,1,1,1,1,4
727,727,0.0,claim 500 bodi bag deliv ice skate rink outsid australian citi adelaid share wide facebook novel coronavirus pandem,179,30,0,0,0,1,1,1,1,4
1832,1832,0.0,presid donald trump refer coronavirus hoax polit conspiraci,90,13,0,0,0,1,1,1,1,4
834,834,0.0,chloroquin effect prove,43,5,0,0,0,1,1,1,1,4
2356,2356,0.0,person coronavirus andorra 21020,52,9,0,0,0,1,1,1,1,4
3775,3775,0.0,tunisia announc come hour sea air land border close counter covid19,115,20,0,1,1,0,0,0,0,0
3127,3127,0.0,turkish presid erdoğan declar curfew covid19,65,10,0,1,0,1,1,1,1,4
3009,3009,0.0,audio clip suggest advis lockdown,60,11,0,0,0,1,1,1,1,4
1962,1962,0.0,say certain state ban sale alcohol,53,9,0,0,0,1,1,1,1,4
3916,3916,0.0,india tv telecast news bollywood actor shahrukh khan donat 450 million 45 crore rupe pakistan oil tanker blast victim,136,21,0,0,0,1,1,1,1,4
2040,2040,0.0,studi initi militari research institut transform form virus 2018,98,15,0,1,0,1,1,1,1,4
272,272,0.0,donald trump claim usa test countri combin,86,14,0,0,0,1,1,1,1,4
1182,1182,0.0,5g frequenc negat affect oxygen absorbion human bodi worsen symptom covid19,118,19,1,1,0,1,1,1,1,4
1630,1630,0.0,bill gate popul control coronavirus vaccin,71,10,0,0,0,1,1,1,1,4
594,594,0.0,having beard increas chanc get coronavirus,62,9,0,1,1,0,0,0,0,0
3219,3219,0.0,photo share hundr time multipl facebook post claim show doctor nurs itali die covid19,141,25,0,0,0,1,1,1,1,4
1358,1358,0.0,kenyan govern minist show middl finger coronavirus idiot televis press confer,115,16,0,0,0,1,1,1,1,4
1968,1968,0.0,articl say britain pull 5g contract chines compani huawei test kit found contamin coronavirus,157,26,0,0,0,1,1,1,1,4
2892,2892,0.0,china ask permiss kill 20000 infect case,57,9,0,0,0,1,1,1,1,4
1048,1048,0.0,japanes doctor tasuku honjo say coronavirus natur,71,11,0,0,0,1,1,1,1,4
3729,3729,0.0,germani unit state best death 100000 peopl frank that import number,153,26,0,0,0,1,1,1,1,4
3571,3571,0.0,patient infect coronavirus kill drug dealer,64,10,0,0,0,1,1,1,1,4
345,345,0.0,video migrant labour come street ahmedabad india lack ration provid covid19 crisi lockdown regul,164,26,0,0,0,1,1,1,1,4
2222,2222,0.0,video purport attack doctor aveng policemen,71,12,0,0,0,1,1,1,1,4
1910,1910,0.0,ambul health care worker transport coronavirus patient hagu netherland dress white protect suit,136,19,0,0,0,1,1,1,1,4
2918,2918,0.0,photo moroccan infect virus,63,12,0,0,0,1,1,1,1,4
352,352,0.0,armi deploy respond covid19 pandem,53,9,0,0,0,1,1,1,1,4
574,574,0.0,fals wednesday curfew effect 14 day costa rica,81,17,0,0,0,1,1,1,1,4
1601,1601,0.0,pavilion open fraga huesca increas number covid19 case,96,18,0,0,0,1,1,1,1,4
2158,2158,0.0,video bollywood actor aamir khan donat 250 crore fight aganist covid19,90,15,0,0,0,1,1,1,1,4
991,991,0.0,shouldnt open window,33,5,0,0,0,1,1,1,1,4
509,509,0.0,tweet donald trump 2009 said let thousand american die pandem,109,20,0,0,0,1,1,1,1,4
2619,2619,0.0,china seek court approv kill 20000 coronavirus patient stop spread outbreak,104,17,0,0,0,1,1,1,1,4
2760,2760,0.0,cofound union progress democraci upyd parti rosa díe alleg tweet say time armi handl emerg,173,31,0,0,0,1,1,1,1,4
3726,3726,0.0,imag claim show grand canal italian citi venic caption call pink swan,116,22,0,0,0,1,1,1,1,4
3682,3682,0.0,claim trolley collector supermarket australian state new south wale test posit novel coronavirus march 2020 share hundr time multipl post facebook,214,37,0,0,0,1,1,1,1,4
1447,1447,0.0,singapor hong kong peopl ran supermarket panic buy toilet paper,88,16,0,0,0,1,1,1,1,4
1799,1799,0.0,trump faint infect coronavirus,44,6,1,1,0,1,1,1,1,4
2432,2432,0.0,ibuprofen worsen coronavirus infect,41,4,0,0,0,1,1,1,1,4
1291,1291,0.0,cdc sponsor facebook post ask help escap coronavirus patient,80,11,0,0,0,1,1,1,1,4
525,525,0.0,bombay high court mumbai citi extend lockdown state maharashtra till april 30 2020,112,20,0,0,0,1,1,1,1,4
3028,3028,0.0,wine protect covid19,37,6,0,0,0,1,1,1,1,4
3511,3511,0.0,journalist claim coronavirus patient murder,54,7,0,0,0,1,1,1,1,4
1964,1964,0.0,french ministri health agnè buzyn treat famous movi produc raymond blumenth hydroxychloroquin,129,17,0,0,0,1,1,1,1,4
1971,1971,0.0,larg muslim crowd indian citi haldwani stone pelt doctor tri quarantin imam,113,20,0,0,0,1,1,1,1,4
1691,1691,0.0,chines prime minist visit mosqu follow coronavirus outbreak,75,10,0,0,0,1,1,1,1,4
2887,2887,0.0,cbs news use 2016 ukrain photo covid19 coverag unverifi random tweet regard reliabl sourc real journalist fals,160,24,0,0,0,1,1,1,1,4
2224,2224,0.0,new digit derogatori attest allow french state polic order collect person data track popul,158,27,0,0,0,1,1,1,1,4
4123,4123,0.0,video food packet deposit street view million time facebook twitter youtub alongsid claim show food donat peopl turkey novel coronavirus lockdown,213,36,0,0,0,1,1,1,1,4
1271,1271,0.0,video man commit suicid jump hotel itali entir famili die coronavirus,126,23,0,0,0,1,1,1,1,4
2980,2980,0.0,korean drama predict occurr covid19 2018,59,9,0,0,0,1,1,1,1,4
3841,3841,0.0,articl overst threat coronavirus,42,5,0,0,0,1,1,1,1,4
909,909,0.0,4120 coronavirus patient blumenau brazil cure,74,11,0,0,0,1,1,1,1,4
3260,3260,0.0,iraqi ministri health demand close border iran coronavirus,88,14,1,1,0,1,1,1,1,4
82,82,0.0,dolphin appear veracruz mexico outbreak new coronavirus,82,12,0,0,0,1,1,1,1,4
3922,3922,0.0,video say vatican confirm pope franci aid test posit coronavirus,95,15,0,0,0,1,1,1,1,4
3833,3833,0.0,video man accus italian civil protect govern region piemont having distribut protect mask poison zinc pyrithion,173,26,0,0,0,1,1,1,1,4
2969,2969,0.0,canada free covid19,28,5,0,0,0,1,1,1,1,4
131,131,0.0,franc state pay 46 billion year armi 1 billion inhabit health,107,20,0,0,0,1,1,1,1,4
1619,1619,0.0,prime minist latvia claim covid19 eur 2 billion recoveri budget plan unemploy support benefit,145,23,0,0,0,1,1,1,1,4
2445,2445,0.0,80 covid19 patient die mechan ventil,60,9,0,0,0,1,1,1,1,4
4052,4052,0.0,russian presid vladimir putin releas 800 lion tiger russia stop peopl leav home,111,17,0,0,0,1,1,1,1,4
642,642,0.0,facebook post share hundr time claim presid donald trump approv 25 million fund madagascar massproduc herbal remedi tout island presid cure covid19,205,33,0,0,0,1,1,1,1,4
2324,2324,0.0,diplomat henri kissing encourag mandatori vaccin order facilit radic sanitari measur forc steril genet modif,169,21,0,0,0,1,1,1,1,4
79,79,0.0,amid coronavirus crisi itali street fill discard print cash seen photo circul social media,135,21,0,0,0,1,1,1,1,4
379,379,0.0,kill coronavirus drink hot drink,53,9,0,0,0,1,1,1,1,4
2941,2941,0.0,presid trump urg peopl ingest inject disinfect treatment coronavirus,95,14,0,0,0,1,1,1,1,4
3399,3399,0.0,59 peopl die pastor gave dettol disinfect drink prevent coronavirus,89,15,0,0,0,1,1,1,1,4
2794,2794,0.0,ecuadorean youtub raùl alvarez guen suppos infect covid19,74,9,0,0,0,1,1,1,1,4
1527,1527,0.0,singer moham abdo infect novel coronavirus isol hotel jeddah,109,18,0,1,1,0,0,0,0,0
1485,1485,0.0,peopl thrown currenc note road spread covid19 infect,76,12,0,0,0,1,1,1,1,4
2840,2840,0.0,minist defens japan post tweet thank taiwan donat 500000 face mask,97,17,0,0,0,1,1,1,1,4
3159,3159,0.0,post share repeat whatsapp facebook claim chines doctor discov drink tea effect cure reliev symptom novel coronavirus covid19,189,29,0,0,0,1,1,1,1,4
1599,1599,0.0,umbrella corpor logo odd similar wuhan biotech lab concern aros appar connect video game resid evil new coronavirus outbreak fals,207,30,0,0,0,1,1,1,1,4
4049,4049,0.0,video view ten thousand time multipl post facebook twitter instagram alongsid claim show uk prime minist bori johnson offer cup tea journalist recov ill post share short johnson return work follow hospit treatment covid19,337,54,0,0,0,1,1,1,1,4
1275,1275,0.0,madagascar leav world health organis encourag countri,89,13,0,0,0,1,1,1,1,4
4009,4009,0.0,video covid19 infect woman east manipur,52,8,0,0,0,1,1,1,1,4
4234,4234,0.0,governor state são paulo joão doria transfer helicopt health case use person transport,136,24,0,0,0,1,1,1,1,4
499,499,0.0,govern andhra pradesh kanipakam templ quarantin center coronavirus suspect,105,15,0,0,0,1,1,1,1,4
4082,4082,0.0,video show orangutan start wash hand watch zookeep coronavirus pandem,124,19,1,0,0,1,1,1,1,4
3750,3750,0.0,follow statement prison infect coronavirus state hide fact,109,16,0,0,0,1,1,1,1,4
1421,1421,0.0,video show nake man vandal mosqu link coronavirus pandem india,98,16,0,0,0,1,1,1,1,4
761,761,0.0,video panick shopper storm supermarket amid coronavirus pandem,91,14,0,0,0,1,1,1,1,4
1867,1867,0.0,case coronavirus argentin provinc santiago del estero confirm,86,14,0,0,0,1,1,1,1,4
3548,3548,0.0,chines doctor confirm african peopl genet resist coronavirus misinform coronavirus outbreak travel farther virus fals,201,26,0,0,0,1,1,1,1,4
3415,3415,0.0,peopl arriv tirur kerala india mumbai train escap sight author avoid quarantin,129,21,0,0,0,1,1,1,1,4
1983,1983,0.0,inhal steam hot water kill covid19,50,8,0,0,0,1,1,1,1,4
3296,3296,0.0,bolivian govern minist arturo murillo confer ask women uterus readi crisi covid19 come soon,141,22,0,0,0,1,1,1,1,4
2189,2189,0.0,voic note say govern appli total lockdown month,82,15,0,0,0,1,1,1,1,4
3913,3913,0.0,china seek court approv kill test posit coronavirus,84,13,0,0,0,1,1,1,1,4
1807,1807,0.0,video show italian boy mother die covid19 shout sky ask late mother,117,21,0,0,0,1,1,1,1,4
1776,1776,0.0,madagascar covid19 free april 28 regist 100 recoveri confirm case,98,15,0,0,0,1,1,1,1,4
690,690,0.0,man itali kill lost famili coronavirus,75,14,0,0,0,1,1,1,1,4
3349,3349,0.0,senior polic inspector infect covid19 bhagalpur central jail india,88,14,0,0,0,1,1,1,1,4
4114,4114,0.0,madrid enabl 915038030 request prescript drug,56,7,0,0,0,1,1,1,1,4
3843,3843,0.0,midst coronavirus health crisi wealthi termin ill heiress offer email donat fortun recipi,136,23,0,0,0,1,1,1,1,4
1828,1828,0.0,coronavirus nigeria accord pastor,52,8,0,0,0,1,1,1,1,4
220,220,0.0,coordin committe expect syria declar countri safe spread covid19 week,123,20,0,1,1,0,0,0,0,0
3484,3484,0.0,coronavirus lab pre exist patent vaccin bill melinda gate foundat involv spread coronavirus,152,25,0,0,0,1,1,1,1,4
2485,2485,0.0,video show policemen pick banknot stick link coronavirus,84,11,0,0,0,1,1,1,1,4
1978,1978,0.0,claim coronavirus fals pandem,44,7,0,0,0,1,1,1,1,4
1144,1144,0.0,video ooni ife nigerian tradit healer say plant product sulphur treat covid19 vaccin diseas extract substanc,200,36,0,0,0,1,1,1,1,4
1032,1032,0.0,video view ten thousand time multipl post facebook weibo twitter claim show peopl commit suicid contract covid19,189,32,0,0,0,1,1,1,1,4
243,243,0.0,kerala india minist kt jaleel draw salari teacher quit job 14 year ago,111,19,0,0,0,1,1,1,1,4
2691,2691,0.0,bollywoof actor aamir khan anonym donat rs 15000 peopl live slum,89,15,0,0,0,1,1,1,1,4
3845,3845,0.0,post share facebook whatsapp claim south african hospit found trace novel coronavirus surviv surfac fresh food item 12 hour lab test,191,33,0,0,0,1,1,1,1,4
431,431,0.0,scientist develop vaccin cure covid19 day,64,10,0,0,0,1,1,1,1,4
546,546,0.0,peopl jama masjid market break indian covid19 lockdown eid,75,12,0,0,0,1,1,1,1,4
2633,2633,0.0,facebook post question exist coronavirus supermarket employe infect world,120,18,0,0,0,1,1,1,1,4
4228,4228,0.0,video woman push polic offic told hous subtitl said happen disrespect lockdown measur bahia brazil,188,34,0,0,0,1,1,1,1,4
4138,4138,0.0,french writer 17th centuri madam de sévigné wrote letter daughter echo situat live moment,135,25,0,0,0,1,1,1,1,4
2543,2543,0.0,photo man woman embrac share facebook twitter alongsid claim show italian doctor die covid19 contract diseas patient treat,214,37,0,0,0,1,1,1,1,4
2316,2316,0.0,italian red cross give recip make amuchina hand sanit home,81,13,0,0,0,1,1,1,1,4
1792,1792,0.0,photo share hundr time facebook alongsid claim show coffin coronavirus victim itali,122,21,0,0,0,1,1,1,1,4
2830,2830,0.0,drcharl lieber chair harvard univers chemistri chemic biolog depart arrest manufactur sell coronavirus china,160,21,0,0,1,0,0,0,0,0
3116,3116,0.0,covid19 epidem finish netherland govern close singl shop tweet initi bolsonaro minist osmar terra 33120,180,28,0,0,0,1,1,1,1,4
686,686,0.0,success egyptian serum treat coronavirus,58,9,1,1,0,1,1,1,1,4
3005,3005,0.0,cure covid19 patient die celebr releas quarantin hospit,97,14,0,0,0,1,1,1,1,4
3345,3345,0.0,number death covid19 fell state capit amazona manaus visit minist health,119,21,0,0,0,1,1,1,1,4
4055,4055,0.0,claim indian prime minist modi said crore 10 million covid19 posit patient treat free,121,19,0,0,0,1,1,1,1,4
731,731,0.0,north carolina charg class h feloni wear mask conceal carri,105,19,0,0,0,1,1,1,1,4
2449,2449,0.0,video show peopl hospit bed street view thousand time facebook alongsid claim show coronavirus patient move outsid hospit pakistan overflow patient,229,39,0,0,0,1,1,1,1,4
2204,2204,0.0,measur mercadona implement coronavirus crisi,83,13,0,0,0,1,1,1,1,4
2551,2551,0.0,scientist claim wuhan coronavirus hiv1 engin super weapon,78,11,0,0,0,1,1,1,1,4
3870,3870,0.0,virus old label bottl disinfect 2015 show coronavirus,100,17,0,0,0,1,1,1,1,4
2230,2230,0.0,person coronavirus huelva 2420,56,10,0,0,0,1,1,1,1,4
1825,1825,0.0,letter suppos written bill gate say coronavirus corrector human,107,18,0,0,0,1,1,1,1,4
634,634,0.0,multipl post share pictur aircraft deliv suppli claim deliveri coronavirus vaccin china nigerian airport,156,24,0,0,0,1,1,1,1,4
285,285,0.0,academia sinica taiwan research institut develop antibodi rapid test china repres took credit,137,20,0,0,0,1,1,1,1,4
1945,1945,0.0,infect taxi driver demand money govern hell infect,79,12,0,0,0,1,1,1,1,4
3924,3924,0.0,covid19 case big number test unit state,85,15,0,0,0,1,1,1,1,4
1561,1561,0.0,recommend countri quarantin combat covid19,78,12,0,0,0,1,1,1,1,4
2784,2784,0.0,video show law enforc offic beat civilian share facebook whatsapp nigeria claim show nigerian soldier beat citizen enforc covid19 lockdown countri,227,34,0,0,0,1,1,1,1,4
1259,1259,0.0,graphic purport detail health risk 5ginduc radiat publish websit share hundr time facebook twitter imag share hoax circul claim covid19 link global rollout 5g network,284,46,0,0,0,1,1,1,1,4
